date,id,referee,home_team,away_team,home_goals,away_goals,result,total_goals,goal_diff
2022-07-15 18:30:00,872862,S. Waschitzki,FC Kaiserslautern,Hannover 96,2,1,0,3,1
2022-07-16 11:00:00,872868,P. Alt,Jahn Regensburg,SV Darmstadt 98,2,0,0,2,2
2022-07-16 11:00:00,872863,R. Braun,SpVgg Greuther Furth,Holstein Kiel,2,2,1,4,0
2022-07-16 11:00:00,872864,F. Heft,FC St. Pauli,FC Nurnberg,3,2,0,5,1
2022-07-16 11:00:00,872867,M. Bacher,SV Sandhausen,Arminia Bielefeld,2,1,0,3,1
2022-07-16 18:30:00,872869,A. Aarnink,FC Magdeburg,Fortuna Dusseldorf,1,2,2,3,-1
2022-07-17 11:30:00,872865,F. Lechner,SC Paderborn 07,Karlsruher SC,5,0,0,5,5
2022-07-17 11:30:00,872870,T. Gerach,Eintracht Braunschweig,Hamburger SV,0,2,2,2,-2
2022-07-17 11:30:00,872866,D. Siebert,Hansa Rostock,FC Heidenheim,0,1,2,1,-1
2022-07-22 16:30:00,872877,T. Welz,Fortuna Dusseldorf,SC Paderborn 07,2,1,0,3,1
2022-07-22 16:30:00,872873,N. Winter,SV Darmstadt 98,SV Sandhausen,2,1,0,3,1
2022-07-23 11:00:00,872875,S. Stegemann,FC Nurnberg,SpVgg Greuther Furth,2,0,0,2,2
2022-07-23 11:00:00,872874,D. Aytekin,FC Heidenheim,Eintracht Braunschweig,3,0,0,3,3
2022-07-23 11:00:00,872876,T. Stieler,Holstein Kiel,FC Kaiserslautern,2,2,1,4,0
2022-07-23 18:30:00,872878,F. Zwayer,Hannover 96,FC St. Pauli,2,2,1,4,0
2022-07-24 11:30:00,872871,F. Willenborg,Arminia Bielefeld,Jahn Regensburg,0,3,2,3,-3
2022-07-24 11:30:00,872879,B. Brand,Karlsruher SC,FC Magdeburg,2,3,2,5,-1
2022-07-24 11:30:00,872872,R. Kampka,Hamburger SV,Hansa Rostock,0,1,2,1,-1
2022-08-05 16:30:00,872880,A. Aarnink,SpVgg Greuther Furth,Karlsruher SC,1,1,1,2,0
2022-08-05 16:30:00,872884,S. Waschitzki,SV Sandhausen,Fortuna Dusseldorf,1,0,0,1,1
2022-08-06 11:00:00,872881,R. Hartmann,Hamburger SV,FC Heidenheim,1,0,0,1,1
2022-08-06 11:00:00,872885,D. Schlager,Jahn Regensburg,FC Nurnberg,0,0,1,0,0
2022-08-06 11:00:00,872882,R. Braun,SC Paderborn 07,Hannover 96,4,2,0,6,2
2022-08-06 18:30:00,872883,S. Jablonski,Hansa Rostock,Arminia Bielefeld,2,1,0,3,1
2022-08-07 11:30:00,872888,H. Osmers,FC Kaiserslautern,FC St. Pauli,2,1,0,3,1
2022-08-07 11:30:00,872886,T. Gerach,FC Magdeburg,Holstein Kiel,1,2,2,3,-1
2022-08-07 11:30:00,872887,M. Burda,Eintracht Braunschweig,SV Darmstadt 98,0,1,2,1,-1
2022-08-12 16:30:00,872892,F. Lechner,FC Nurnberg,FC Heidenheim,0,3,2,3,-3
2022-08-12 16:30:00,872897,M. Jöllenbeck,FC Kaiserslautern,SC Paderborn 07,0,1,2,1,-1
2022-08-13 11:00:00,872889,M. Fritz,Arminia Bielefeld,Hamburger SV,0,2,2,2,-2
2022-08-13 11:00:00,872893,W. Haslberger,Holstein Kiel,Eintracht Braunschweig,3,0,0,3,3
2022-08-13 11:00:00,872896,P. Alt,Karlsruher SC,SV Sandhausen,3,2,0,5,1
2022-08-13 18:30:00,872890,F. Heft,SV Darmstadt 98,Hansa Rostock,4,0,0,4,4
2022-08-14 11:30:00,872895,M. Petersen,Hannover 96,Jahn Regensburg,1,0,0,1,1
