date,id,referee,home_team,away_team,home_goals,away_goals,result,total_goals,goal_diff,home_gf_rolls_mean_5,home_pts_rolls_sum_5,away_gf_rolls_mean_5,away_pts_rolls_sum_5
2023-07-28 18:30:00,1048575,M. Jöllenbeck,Hamburger SV,FC Schalke 04,5,3,home,8,2,1.5,8.0,1.0,3.0
2023-07-29 11:00:00,1048577,R. Schröder,FC Kaiserslautern,FC St. Pauli,1,2,away,3,-1,1.75,7.0,2.0,8.0
2023-07-29 11:00:00,1048578,A. Sather,Hannover 96,SV Elversberg,2,2,draw,4,0,1.25,6.0,2.0,9.0
2023-07-29 11:00:00,1048583,B. Brand,SV Wehen,FC Magdeburg,1,1,draw,2,0,1.5,4.0,2.25,7.0
2023-07-29 11:00:00,1048582,M. Bacher,VfL Osnabruck,Karlsruher SC,2,3,away,5,-1,2.0,5.0,1.3333333333333333,5.0
2023-07-29 18:30:00,1048576,C. Dingert,Fortuna Dusseldorf,Hertha Berlin,1,0,home,1,1,1.5,9.0,0.5,0.0
2023-07-30 11:30:00,1048581,A. Aarnink,Eintracht Braunschweig,Holstein Kiel,0,1,away,1,-1,,,2.0,4.0
2023-07-30 11:30:00,1048580,F. Heft,Hansa Rostock,FC Nurnberg,2,0,home,2,2,1.75,7.0,1.0,5.0
2023-07-30 11:30:00,1048579,R. Hempel,SpVgg Greuther Furth,SC Paderborn 07,5,0,home,5,5,0.75,1.0,1.75,9.0
2023-08-04 16:30:00,1048585,F. Lechner,Hertha Berlin,SV Wehen,0,1,away,1,-1,0.5,0.0,1.5,4.0
2023-08-04 16:30:00,1048587,T. Stieler,SC Paderborn 07,VfL Osnabruck,1,1,draw,2,0,1.0,6.0,2.5,5.0
2023-08-05 11:00:00,1048586,D. Schlager,FC St. Pauli,Fortuna Dusseldorf,0,0,draw,0,0,2.25,10.0,1.25,9.0
2023-08-05 11:00:00,1048589,T. Reichel,Holstein Kiel,SpVgg Greuther Furth,2,1,home,3,1,1.75,7.0,2.0,4.0
2023-08-05 11:00:00,1048592,R. Kampka,SV Elversberg,Hansa Rostock,1,2,away,3,-1,2.0,7.0,2.0,10.0
2023-08-05 18:30:00,1048584,H. Osmers,FC Schalke 04,FC Kaiserslautern,3,0,home,3,3,1.75,3.0,1.25,4.0
2023-08-06 11:30:00,1048590,D. Siebert,FC Magdeburg,Eintracht Braunschweig,2,1,home,3,1,2.25,7.0,0.0,0.0
2023-08-06 11:30:00,1048591,P. Alt,FC Nurnberg,Hannover 96,2,2,draw,4,0,0.5,2.0,1.75,7.0
2023-08-06 11:30:00,1048588,F. Brych,Karlsruher SC,Hamburger SV,2,2,draw,4,0,2.0,5.0,2.5,8.0
2023-08-18 16:30:00,1048596,P. Ittrich,FC Kaiserslautern,SV Elversberg,3,2,home,5,1,1.25,4.0,1.5,4.0
2023-08-18 16:30:00,1048601,W. Haslberger,SV Wehen,Karlsruher SC,1,0,home,1,1,1.5,7.0,2.3333333333333335,5.0
2023-08-19 11:00:00,1048594,R. Hartmann,Fortuna Dusseldorf,SC Paderborn 07,1,2,away,3,-1,1.0,7.0,1.0,4.0
2023-08-19 11:00:00,1048598,F. Exner,Hansa Rostock,Hannover 96,1,2,away,3,-1,2.25,12.0,1.25,5.0
2023-08-19 11:00:00,1048597,T. Bauer,SpVgg Greuther Furth,FC St. Pauli,0,0,draw,0,0,2.25,4.0,2.0,10.0
2023-08-19 18:30:00,1048593,F. Willenborg,Hamburger SV,Hertha Berlin,3,0,home,3,3,2.75,8.0,0.5,0.0
2023-08-20 11:30:00,1048599,B. Dankert,Eintracht Braunschweig,FC Schalke 04,1,0,home,1,1,0.5,0.0,2.5,6.0
2023-08-20 11:30:00,1048595,N. Winter,Holstein Kiel,FC Magdeburg,2,4,away,6,-2,2.0,9.0,2.0,7.0
2023-08-20 11:30:00,1048600,S. Stegemann,VfL Osnabruck,FC Nurnberg,2,3,away,5,-1,1.5,3.0,0.75,2.0
2023-08-25 16:30:00,1048602,D. Aytekin,FC Schalke 04,Holstein Kiel,0,2,away,2,-2,2.25,6.0,2.0,9.0
2023-08-25 16:30:00,1048605,R. Braun,SC Paderborn 07,FC Kaiserslautern,1,2,away,3,-1,1.0,4.0,1.25,6.0
2023-08-26 11:00:00,1048608,P. Schwengers,Hansa Rostock,VfL Osnabruck,2,1,home,3,1,1.75,9.0,1.25,2.0
2023-08-26 11:00:00,1048603,T. Stieler,Hertha Berlin,SpVgg Greuther Furth,5,0,home,5,5,0.25,0.0,2.0,5.0
2023-08-26 11:00:00,1048610,M. Bacher,SV Elversberg,Fortuna Dusseldorf,0,5,away,5,-5,1.5,4.0,1.25,7.0
2023-08-26 18:30:00,1048607,T. Reichel,Hannover 96,Hamburger SV,0,1,away,1,-1,1.5,5.0,2.75,8.0
2023-08-27 11:30:00,1048609,M. Petersen,FC Nurnberg,SV Wehen,2,1,home,3,1,1.25,5.0,0.75,7.0
2023-08-27 11:30:00,1048604,S. Jablonski,FC St. Pauli,FC Magdeburg,0,0,draw,0,0,1.0,8.0,2.0,7.0
2023-08-27 11:30:00,1048606,R. Kampka,Karlsruher SC,Eintracht Braunschweig,2,0,home,2,2,1.75,5.0,0.6666666666666666,3.0
2023-09-01 16:30:00,1048617,F. Lechner,Eintracht Braunschweig,FC St. Pauli,1,1,draw,2,0,0.5,3.0,0.5,6.0
2023-09-01 16:30:00,1048612,F. Willenborg,Fortuna Dusseldorf,Karlsruher SC,3,1,home,4,2,1.75,7.0,1.75,7.0
