date,id,referee,home_team_id,away_team_id,home_team,away_team,home_goals,away_goals,result,total_goals,goal_diff,home_shots_on_goal,home_shots_off_goal,home_total_shots,home_blocked_shots,home_shots_insidebox,home_shots_outsidebox,home_fouls,home_corner_kicks,home_offsides,home_ball_possession,home_yellow_cards,home_red_cards,home_goalkeeper_saves,home_total_passes,home_passes_accurate,home_passes_%,home_expected_goals,home_goals_prevented,away_shots_on_goal,away_shots_off_goal,away_total_shots,away_blocked_shots,away_shots_insidebox,away_shots_outsidebox,away_fouls,away_corner_kicks,away_offsides,away_ball_possession,away_yellow_cards,away_red_cards,away_goalkeeper_saves,away_total_passes,away_passes_accurate,away_passes_%,away_expected_goals,away_goals_prevented
2024-08-02 18:30:00,1226165,M. Burda,192,175,1. FC Köln,Hamburger SV,1,2,2,3,-1,3.0,14.0,28.0,11.0,19.0,9.0,17.0,6.0,1.0,60%,2.0,,4.0,542.0,463.0,85%,,,6.0,1.0,10.0,3.0,8.0,2.0,7.0,3.0,4.0,40%,2.0,,2.0,379.0,296.0,78%,,
2024-08-03 11:00:00,1226170,W. Haslberger,159,185,Hertha BSC,SC Paderborn 07,1,2,2,3,-1,4.0,3.0,10.0,3.0,6.0,4.0,16.0,1.0,0.0,59%,2.0,,2.0,477.0,408.0,86%,,,4.0,4.0,10.0,2.0,8.0,2.0,8.0,8.0,1.0,41%,1.0,,3.0,331.0,245.0,74%,,
2024-08-03 11:00:00,1226168,M. Bacher,166,177,Hannover 96,SSV Jahn Regensburg,2,0,0,2,2,5.0,6.0,17.0,6.0,12.0,5.0,12.0,5.0,0.0,54%,1.0,,3.0,403.0,312.0,77%,,,3.0,7.0,10.0,0.0,6.0,4.0,17.0,3.0,2.0,46%,0.0,,3.0,337.0,247.0,73%,,
2024-08-03 11:00:00,1226172,F. Heft,179,1660,1. FC Magdeburg,SV Elversberg,0,0,1,0,0,6.0,9.0,20.0,5.0,13.0,7.0,11.0,11.0,1.0,60%,3.0,,2.0,535.0,465.0,87%,,,2.0,4.0,8.0,2.0,4.0,4.0,8.0,1.0,1.0,40%,2.0,,7.0,371.0,290.0,78%,,
2024-08-03 11:00:00,1226167,R. Braun,785,171,Karlsruher SC,1. FC Nürnberg,3,2,0,5,1,5.0,6.0,15.0,4.0,9.0,6.0,15.0,7.0,0.0,53%,2.0,,3.0,410.0,325.0,79%,,,5.0,5.0,15.0,5.0,8.0,7.0,12.0,3.0,2.0,47%,4.0,,1.0,374.0,297.0,79%,,
2024-08-03 18:30:00,1226171,T. Stieler,174,744,FC Schalke 04,Eintracht Braunschweig,5,1,0,6,4,8.0,4.0,14.0,2.0,10.0,4.0,13.0,3.0,2.0,56%,2.0,,5.0,414.0,336.0,81%,,,6.0,5.0,11.0,0.0,8.0,3.0,11.0,3.0,1.0,44%,2.0,,2.0,326.0,258.0,79%,,
2024-08-04 11:30:00,1226169,R. Hempel,178,1313,SpVgg Greuther Fürth,Preußen Münster,3,1,0,4,2,9.0,10.0,21.0,2.0,13.0,8.0,9.0,6.0,1.0,47%,1.0,,3.0,389.0,303.0,78%,,,4.0,10.0,14.0,0.0,10.0,4.0,11.0,5.0,1.0,53%,2.0,,6.0,445.0,367.0,82%,,
2024-08-04 11:30:00,1226166,R. Kampka,181,158,SV Darmstadt 98,Fortuna Düsseldorf,0,2,2,2,-2,6.0,3.0,12.0,3.0,9.0,3.0,16.0,7.0,4.0,45%,2.0,1.0,3.0,418.0,351.0,84%,,,4.0,5.0,11.0,2.0,7.0,4.0,7.0,6.0,0.0,55%,2.0,0.0,6.0,527.0,469.0,89%,,
2024-08-04 11:30:00,1226173,R. Schröder,1652,745,SSV Ulm 1846,1. FC Kaiserslautern,1,2,2,3,-1,3.0,6.0,11.0,2.0,7.0,4.0,12.0,6.0,3.0,51%,2.0,,3.0,354.0,277.0,78%,,,5.0,6.0,13.0,2.0,8.0,5.0,16.0,7.0,2.0,49%,3.0,,2.0,352.0,279.0,79%,,
2024-08-09 16:30:00,1226182,L. Benen,177,1652,SSV Jahn Regensburg,SSV Ulm 1846,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
