date,id,referee,home_team,away_team,home_goals,away_goals,result,total_goals,goal_diff
2023-08-11 19:00:00,1044885,B. Bastien,Nice,Lille,1,1,1,2,0
2023-08-12 15:00:00,1044884,E. Wattellier,Marseille,Reims,2,1,0,3,1
2023-08-12 19:00:00,1044881,B. Dechepy,Paris Saint Germain,Lorient,0,0,1,0,0
2023-08-13 11:00:00,1044889,J. Pignard,Stade Brestois 29,Lens,3,2,0,5,1
2023-08-13 13:00:00,1044888,C. Turpin,Montpellier,Le Havre,2,2,1,4,0
2023-08-13 13:00:00,1044887,W. Delajod,Nantes,Toulouse,1,2,2,3,-1
2023-08-13 13:00:00,1044886,F. Letexier,Clermont Foot,Monaco,2,4,2,6,-2
2023-08-13 15:05:00,1044883,J. Stinat,Rennes,Metz,5,1,0,6,4
2023-08-13 18:45:00,1044882,J. Brisard,Strasbourg,Lyon,2,1,0,3,1
2023-08-18 19:00:00,1044898,J. Brisard,Metz,Marseille,2,2,1,4,0
2023-08-19 17:00:00,1044894,M. Vernice,Lyon,Montpellier,1,4,2,5,-3
2023-08-19 19:00:00,1044890,T. Léonard,Toulouse,Paris Saint Germain,1,1,1,2,0
2023-08-20 11:00:00,1044893,P. Gaillouste,Lille,Nantes,2,0,0,2,2
2023-08-20 13:00:00,1044895,R. Lissorgue,Reims,Clermont Foot,2,0,0,2,2
2023-08-20 13:00:00,1044891,H. Ben El Hadj,Lorient,Nice,1,1,1,2,0
2023-08-20 13:00:00,1044897,F. Batta,Le Havre,Stade Brestois 29,1,2,2,3,-1
2023-08-20 17:00:00,1044892,R. Buquet,Monaco,Strasbourg,3,0,0,3,3
2023-08-20 18:45:00,1044896,B. Millot,Lens,Rennes,1,1,1,2,0
2023-08-25 19:00:00,1044906,J. Pignard,Nantes,Monaco,3,3,1,6,0
2023-08-26 17:00:00,1044902,J. Stinat,Marseille,Stade Brestois 29,2,0,0,2,2
2023-08-26 19:00:00,1044899,F. Letexier,Paris Saint Germain,Lens,3,1,0,4,2
2023-08-27 11:00:00,1044901,E. Wattellier,Rennes,Le Havre,2,2,1,4,0
2023-08-27 13:00:00,1044907,M. Bollengier,Montpellier,Reims,1,3,2,4,-2
2023-08-27 13:00:00,1044900,B. Bastien,Strasbourg,Toulouse,2,0,0,2,2
2023-08-27 13:00:00,1044905,G. Angoula,Clermont Foot,Metz,0,1,2,1,-1
2023-08-27 15:05:00,1044903,W. Delajod,Lorient,Lille,4,1,0,5,3
2023-08-27 18:45:00,1044904,B. Dechepy,Nice,Lyon,0,0,1,0,0
2023-09-01 19:00:00,1044913,R. Buquet,Nantes,Marseille,1,1,1,2,0
2023-09-02 15:00:00,1044916,H. Ben El Hadj,Stade Brestois 29,Rennes,0,0,1,0,0
2023-09-02 19:00:00,1044909,W. Delajod,Monaco,Lens,3,0,0,3,3
2023-09-03 11:00:00,1044908,F. Batta,Toulouse,Clermont Foot,2,2,1,4,0
