date,id,referee,home_team,away_team,home_goals,away_goals,result,total_goals,goal_diff,home_gf_rolls_mean_5,home_pts_rolls_sum_5,away_gf_rolls_mean_5,away_pts_rolls_sum_5
2024-08-16 18:45:00,1213754,W. Delajod,Le Havre,Paris Saint Germain,1,4,away,5,-3,1.75,4.0,1.5,9.0
2024-08-17 15:00:00,1213747,B. Bastien,Stade Brestois 29,Marseille,1,5,away,6,-4,1.5,6.0,1.5,3.0
2024-08-17 17:00:00,1213752,E. Wattellier,Reims,Lille,0,2,away,2,-2,1.75,4.0,1.5,7.0
2024-08-17 19:00:00,1213751,C. Turpin,Monaco,Saint Etienne,1,0,home,1,1,1.6666666666666667,5.0,1.5,6.0
2024-08-18 13:00:00,1213753,R. Lissorgue,Auxerre,Nice,2,1,home,3,1,1.0,6.0,0.5,3.0
2024-08-18 15:00:00,1213750,T. Léonard,Angers,Lens,0,1,away,1,-1,,,1.25,4.0
2024-08-18 15:00:00,1213748,M. Vernice,Montpellier,Strasbourg,1,1,draw,2,0,1.5,8.0,1.25,6.0
2024-08-18 15:00:00,1213749,J. Stinat,Toulouse,Nantes,0,0,draw,0,0,1.5,7.0,0.5,1.0
2024-08-18 18:45:00,1213755,B. Millot,Rennes,Lyon,3,0,home,3,3,0.5,1.0,1.5,7.0
2024-08-23 18:45:00,1213756,M. Bollengier,Paris Saint Germain,Montpellier,6,0,home,6,6,2.0,9.0,1.75,8.0
2024-08-24 15:00:00,1213763,S. Frappart,Lyon,Monaco,0,2,away,2,-2,0.75,4.0,1.6666666666666667,7.0
2024-08-24 17:00:00,1213760,A. Kherradji,Lille,Angers,2,0,home,2,2,1.25,7.0,0.0,0.0
2024-08-24 19:00:00,1213759,F. Batta,Saint Etienne,Le Havre,0,2,away,2,-2,1.0,3.0,1.75,4.0
2024-08-25 13:00:00,1213762,J. Pignard,Lens,Stade Brestois 29,2,0,home,2,2,1.25,7.0,1.25,3.0
2024-08-25 15:00:00,1213758,G. Angoula,Nantes,Auxerre,2,0,home,2,2,0.25,2.0,1.25,9.0
2024-08-25 15:00:00,1213761,B. Dechepy,Nice,Toulouse,1,1,draw,2,0,0.5,2.0,1.5,7.0
2024-08-25 15:00:00,1213757,E. Wattellier,Strasbourg,Rennes,3,1,home,4,2,1.25,7.0,1.25,4.0
2024-08-25 18:45:00,1213764,H. Ben El Hadj,Marseille,Reims,2,2,draw,4,0,2.5,6.0,1.5,3.0
2024-08-30 18:45:00,1213766,T. Léonard,Lyon,Strasbourg,4,3,home,7,1,0.25,1.0,1.75,10.0
2024-08-31 15:00:00,1213767,G. Angoula,Stade Brestois 29,Saint Etienne,4,0,home,4,4,1.0,3.0,0.75,3.0
2024-08-31 17:00:00,1213768,B. Millot,Montpellier,Nantes,1,3,away,4,-2,1.5,7.0,0.75,4.0
2024-08-31 19:00:00,1213773,S. Frappart,Toulouse,Marseille,1,3,away,4,-2,1.0,5.0,2.0,4.0
2024-09-01 13:00:00,1213770,W. Delajod,Monaco,Lens,1,1,draw,2,0,1.3333333333333333,7.0,1.5,9.0
2024-09-01 15:00:00,1213769,J. Stinat,Angers,Nice,1,4,away,5,-3,0.0,0.0,0.75,2.0
2024-09-01 15:00:00,1213771,M. Bollengier,Le Havre,Auxerre,3,1,home,4,2,1.25,4.0,1.25,9.0
2024-09-01 15:00:00,1213772,M. Vernice,Reims,Rennes,2,1,home,3,1,1.75,4.0,1.5,4.0
2024-09-01 18:45:00,1213765,B. Bastien,Lille,Paris Saint Germain,1,3,away,4,-2,1.75,10.0,2.75,9.0
2024-09-13 18:45:00,1213780,F. Letexier,Saint Etienne,Lille,1,0,home,1,1,0.5,3.0,1.5,7.0
2024-09-14 15:00:00,1213781,B. Millot,Marseille,Nice,2,0,home,2,2,2.5,7.0,1.75,5.0
2024-09-14 17:00:00,1213774,A. Kherradji,Auxerre,Monaco,0,3,away,3,-3,1.25,6.0,1.25,8.0
2024-09-14 19:00:00,1213782,C. Turpin,Paris Saint Germain,Stade Brestois 29,3,1,home,4,2,3.25,9.0,1.75,6.0
2024-09-15 13:00:00,1213775,J. Pignard,Rennes,Montpellier,3,0,home,3,3,1.5,4.0,1.0,4.0
2024-09-15 15:00:00,1213777,W. Delajod,Nantes,Reims,1,2,away,3,-1,1.5,7.0,2.0,7.0
2024-09-15 15:00:00,1213779,H. Ben El Hadj,Strasbourg,Angers,1,1,draw,2,0,2.25,7.0,0.3333333333333333,0.0
2024-09-15 15:00:00,1213778,E. Wattellier,Toulouse,Le Havre,2,0,home,2,2,0.75,2.0,1.75,7.0
2024-09-15 18:45:00,1213776,B. Dechepy,Lens,Lyon,0,0,draw,0,0,1.25,7.0,1.0,3.0
2024-09-20 18:45:00,1213784,T. Léonard,Nice,Saint Etienne,8,0,home,8,8,1.5,4.0,0.25,3.0
2024-09-21 15:00:00,1213789,J. Brisard,Lille,Strasbourg,3,3,draw,6,0,1.25,6.0,2.0,5.0
2024-09-21 17:00:00,1213790,J. Stinat,Rennes,Lens,1,1,draw,2,0,2.0,6.0,1.0,8.0
2024-09-21 19:00:00,1213785,J. Pignard,Reims,Paris Saint Germain,1,1,draw,2,0,1.5,7.0,4.0,12.0
2024-09-22 13:00:00,1213791,S. Frappart,Monaco,Le Havre,3,1,home,4,2,1.75,10.0,1.5,6.0
2024-09-22 15:00:00,1213787,M. Vernice,Angers,Nantes,1,1,draw,2,0,0.5,1.0,1.5,7.0
2024-09-22 15:00:00,1213788,H. Ben El Hadj,Montpellier,Auxerre,3,2,home,5,1,0.5,1.0,0.75,3.0
2024-09-22 15:00:00,1213786,F. Batta,Stade Brestois 29,Toulouse,2,0,home,2,2,1.5,3.0,1.0,5.0
2024-09-22 18:45:00,1213783,B. Bastien,Lyon,Marseille,2,3,away,5,-1,1.0,4.0,3.0,10.0
2024-09-27 17:00:00,1213794,J. Stinat,Auxerre,Stade Brestois 29,3,0,home,3,3,1.0,3.0,1.6,6.0
2024-09-27 19:00:00,1213793,H. Ben El Hadj,Paris Saint Germain,Rennes,3,1,home,4,2,3.4,13.0,1.8,7.0
2024-09-28 15:00:00,1213795,F. Letexier,Lens,Nice,0,0,draw,0,0,1.0,9.0,2.8,7.0
2024-09-28 17:00:00,1213797,B. Dechepy,Le Havre,Lille,0,3,away,3,-3,1.4,6.0,1.6,7.0
2024-09-28 19:00:00,1213799,M. Bollengier,Monaco,Montpellier,2,1,home,3,1,2.0,13.0,1.0,4.0
2024-09-29 13:00:00,1213798,G. Angoula,Toulouse,Lyon,1,2,away,3,-1,0.8,5.0,1.2,4.0
2024-09-29 15:00:00,1213800,E. Wattellier,Angers,Reims,1,3,away,4,-2,0.6,2.0,1.4,8.0
2024-09-29 15:00:00,1213796,A. Kherradji,Nantes,Saint Etienne,2,2,draw,4,0,1.4,8.0,0.2,3.0
2024-09-29 18:45:00,1213792,W. Delajod,Strasbourg,Marseille,1,0,home,1,1,2.2,6.0,3.0,13.0
2024-10-04 18:45:00,1213806,R. Lissorgue,Marseille,Angers,1,1,draw,2,0,2.0,10.0,0.8,2.0
2024-10-05 15:00:00,1213804,M. Vernice,Saint Etienne,Auxerre,3,1,home,4,2,0.6,4.0,1.2,3.0
2024-10-05 17:00:00,1213803,C. Turpin,Lille,Toulouse,2,1,home,3,1,1.8,7.0,1.0,4.0
2024-10-05 19:00:00,1213807,T. Léonard,Rennes,Monaco,1,2,away,3,-1,1.4,4.0,2.2,13.0
2024-10-06 13:00:00,1213801,M. Bollengier,Lyon,Nantes,2,0,home,2,2,1.6,7.0,1.8,8.0
2024-10-06 15:00:00,1213809,B. Bastien,Reims,Montpellier,4,2,home,6,2,2.0,11.0,1.0,3.0
2024-10-06 15:00:00,1213805,B. Millot,Stade Brestois 29,Le Havre,2,0,home,2,2,1.4,6.0,1.2,6.0
2024-10-06 15:00:00,1213808,S. Frappart,Strasbourg,Lens,2,2,draw,4,0,2.2,8.0,0.8,7.0
2024-10-06 18:45:00,1213802,J. Brisard,Nice,Paris Saint Germain,1,1,draw,2,0,2.6,8.0,3.2,13.0
2024-10-18 18:45:00,1213815,E. Wattellier,Monaco,Lille,0,0,draw,0,0,2.2,13.0,1.8,7.0
2024-10-19 15:00:00,1213817,B. Dechepy,Stade Brestois 29,Rennes,1,1,draw,2,0,1.8,9.0,1.4,4.0
2024-10-19 17:00:00,1213816,R. Lissorgue,Saint Etienne,Lens,0,2,away,2,-2,1.2,7.0,0.8,5.0
2024-10-19 19:00:00,1213818,J. Stinat,Paris Saint Germain,Strasbourg,4,2,home,6,2,2.2,11.0,2.0,6.0
2024-10-20 13:00:00,1213812,A. Kherradji,Le Havre,Lyon,0,4,away,4,-4,0.8,3.0,2.0,10.0
2024-10-20 15:00:00,1213810,F. Batta,Auxerre,Reims,2,1,home,3,1,1.4,3.0,2.4,13.0
2024-10-20 15:00:00,1213813,G. Angoula,Nantes,Nice,1,1,draw,2,0,1.4,5.0,2.6,8.0
2024-10-20 15:00:00,1213811,W. Delajod,Toulouse,Angers,1,1,draw,2,0,1.0,3.0,1.0,3.0
2024-10-20 18:45:00,1213814,C. Turpin,Montpellier,Marseille,0,5,away,5,-5,1.4,3.0,1.8,10.0
2024-10-25 18:45:00,1213825,F. Batta,Rennes,Le Havre,1,0,home,1,1,1.4,5.0,0.2,0.0
2024-10-26 15:00:00,1213826,M. Bollengier,Angers,Saint Etienne,4,2,home,6,2,1.0,4.0,1.2,7.0
2024-10-26 17:00:00,1213827,J. Brisard,Reims,Stade Brestois 29,1,2,away,3,-1,2.2,10.0,1.2,7.0
2024-10-26 19:00:00,1213820,B. Bastien,Lens,Lille,0,2,away,2,-2,1.0,7.0,1.6,8.0
2024-10-27 13:00:00,1213822,J. Stinat,Lyon,Auxerre,2,2,draw,4,0,2.0,10.0,1.6,6.0
2024-10-27 15:00:00,1213823,T. Léonard,Montpellier,Toulouse,0,3,away,3,-3,1.2,3.0,1.0,4.0
2024-10-27 15:00:00,1213819,J. Pignard,Nice,Monaco,2,1,home,3,1,2.0,6.0,2.0,13.0
2024-10-27 15:00:00,1213824,H. Ben El Hadj,Strasbourg,Nantes,3,1,home,4,2,1.8,6.0,1.0,3.0
2024-10-27 19:45:00,1213821,F. Letexier,Marseille,Paris Saint Germain,0,3,away,3,-3,2.2,10.0,2.4,11.0
2024-11-01 18:00:00,1213830,A. Kherradji,Monaco,Angers,0,1,away,1,-1,1.6,10.0,1.6,6.0
2024-11-01 20:00:00,1213833,J. Brisard,Lille,Lyon,1,1,draw,2,0,2.0,11.0,2.4,10.0
2024-11-02 16:00:00,1213836,W. Delajod,Paris Saint Germain,Lens,1,0,home,1,1,2.4,11.0,1.0,6.0
2024-11-02 18:00:00,1213835,C. Turpin,Stade Brestois 29,Nice,0,1,away,1,-1,1.4,10.0,2.4,9.0
2024-11-02 20:00:00,1213834,E. Wattellier,Saint Etienne,Strasbourg,2,0,home,2,2,1.4,4.0,2.2,8.0
2024-11-03 14:00:00,1213829,M. Vernice,Toulouse,Reims,1,0,home,1,1,1.2,4.0,2.0,7.0
2024-11-03 16:00:00,1213828,G. Angoula,Auxerre,Rennes,4,0,home,4,4,2.0,7.0,1.0,5.0
2024-11-03 16:00:00,1213831,S. Frappart,Le Havre,Montpellier,1,0,home,1,1,0.2,0.0,1.2,3.0
2024-11-03 19:45:00,1213832,B. Dechepy,Nantes,Marseille,1,2,away,3,-1,1.0,3.0,1.8,7.0
2024-11-08 19:45:00,1213837,M. Bollengier,Marseille,Auxerre,1,3,away,4,-2,1.6,7.0,2.4,10.0
2024-11-09 16:00:00,1213841,B. Dechepy,Strasbourg,Monaco,1,3,away,4,-2,1.6,7.0,1.0,7.0
2024-11-09 18:00:00,1213842,C. Turpin,Lens,Nantes,3,2,home,5,1,0.8,5.0,1.0,2.0
2024-11-09 20:00:00,1213845,B. Millot,Angers,Paris Saint Germain,2,4,away,6,-2,1.6,8.0,2.4,13.0
2024-11-10 14:00:00,1213844,J. Stinat,Nice,Lille,2,2,draw,4,0,1.0,9.0,1.6,11.0
2024-11-10 16:00:00,1213840,H. Ben El Hadj,Le Havre,Reims,0,3,away,3,-3,0.2,3.0,1.8,6.0
2024-11-10 16:00:00,1213839,J. Pignard,Montpellier,Stade Brestois 29,3,1,home,4,2,0.6,0.0,1.0,7.0
2024-11-10 16:00:00,1213843,R. Lissorgue,Rennes,Toulouse,0,2,away,2,-2,0.8,4.0,1.4,7.0
2024-11-10 19:45:00,1213838,W. Delajod,Lyon,Saint Etienne,1,0,home,1,1,2.2,11.0,1.8,7.0
2024-11-22 18:00:00,1213852,T. Léonard,Monaco,Stade Brestois 29,3,2,home,5,1,1.2,7.0,1.2,7.0
2024-11-22 20:00:00,1213846,G. Angoula,Paris Saint Germain,Toulouse,3,0,home,3,3,2.6,13.0,1.6,10.0
2024-11-23 16:00:00,1213847,E. Wattellier,Lens,Marseille,1,3,away,4,-2,1.4,7.0,1.8,7.0
2024-11-23 18:00:00,1213849,F. Batta,Saint Etienne,Montpellier,1,0,home,1,1,1.4,6.0,1.0,3.0
2024-11-23 20:00:00,1213854,S. Frappart,Reims,Lyon,1,1,draw,2,0,1.8,6.0,2.0,11.0
2024-11-24 14:00:00,1213850,M. Vernice,Lille,Rennes,1,0,home,1,1,1.4,9.0,0.6,4.0
2024-11-24 16:00:00,1213853,F. Letexier,Auxerre,Angers,1,0,home,1,1,2.4,10.0,1.8,8.0
2024-11-24 16:00:00,1213851,J. Brisard,Nantes,Le Havre,0,2,away,2,-2,1.0,1.0,0.2,3.0
2024-11-24 19:45:00,1213848,B. Bastien,Nice,Strasbourg,2,1,home,3,1,1.4,9.0,1.6,4.0
2024-11-29 19:45:00,1213855,A. Kherradji,Reims,Lens,0,2,away,2,-2,1.2,4.0,1.2,6.0
2024-11-30 16:00:00,1213856,M. Bollengier,Rennes,Saint Etienne,5,0,home,5,5,0.4,4.0,1.0,6.0
2024-11-30 18:00:00,1213859,R. Lissorgue,Stade Brestois 29,Strasbourg,3,1,home,4,2,1.2,4.0,1.4,3.0
2024-11-30 20:00:00,1213861,J. Stinat,Paris Saint Germain,Nantes,1,1,draw,2,0,3.0,15.0,1.0,1.0
2024-12-01 14:00:00,1213860,B. Millot,Montpellier,Lille,2,2,draw,4,0,0.6,3.0,1.2,9.0
2024-12-01 16:00:00,1213857,W. Delajod,Le Havre,Angers,0,1,away,1,-1,0.6,6.0,1.6,7.0
2024-12-01 16:00:00,1213863,B. Dechepy,Lyon,Nice,4,1,home,5,3,1.8,9.0,1.6,11.0
2024-12-01 16:00:00,1213858,H. Ben El Hadj,Toulouse,Auxerre,2,0,home,2,2,1.4,10.0,2.4,13.0
2024-12-01 19:45:00,1213862,C. Turpin,Marseille,Monaco,2,1,home,3,1,2.2,9.0,1.4,7.0
2024-12-06 18:00:00,1213868,B. Bastien,Lille,Stade Brestois 29,3,1,home,4,2,1.6,9.0,1.6,6.0
2024-12-06 20:00:00,1213865,J. Pignard,Auxerre,Paris Saint Germain,0,0,draw,0,0,2.0,10.0,2.4,13.0
2024-12-07 16:00:00,1213872,S. Frappart,Monaco,Toulouse,2,0,home,2,2,1.6,6.0,1.6,12.0
2024-12-07 18:00:00,1213864,F. Letexier,Nice,Le Havre,2,1,home,3,1,1.6,10.0,0.6,6.0
2024-12-07 20:00:00,1213867,M. Bollengier,Angers,Lyon,0,3,away,3,-3,1.6,9.0,1.8,9.0
2024-12-08 14:00:00,1213869,M. Vernice,Lens,Montpellier,2,0,home,2,2,1.2,6.0,1.0,4.0
2024-12-08 16:00:00,1213871,E. Wattellier,Nantes,Rennes,1,0,home,1,1,1.0,1.0,1.2,6.0
2024-12-08 16:00:00,1213870,T. Léonard,Strasbourg,Reims,0,0,draw,0,0,1.2,3.0,1.0,4.0
